Sentence Stem,Response,Present (2010),Response,B&F (1980)
She could tell he was mad by the tone of his,Voice,0.99,,
She went to the bakery for a loaf of ,Bread,0.98,,
Bob proposed and gave her a diamond,Ring,0.98,,
The dentist recommends brushing your teeth twice a ,Day,0.98,,
He loosened the tie around his,Neck,0.97,Neck,.96 (LU)
Dan was asked to be the new coach of the,Team,0.97,,
They paid for their meals but forgot to leave a,Tip,0.97,,
To pay for tuition she took out two student,Loans,0.97,,
She didn’t have her watch so she asked for the,Time,0.97,,
Sherry had to read lips because she was,Deaf,0.97,,
They sat together without speaking a single,Word,0.96,Word,.98 (LU)
After hitting the iceberg the ship began to,Sink,0.96,,
She went to the beauty parlor to perm her,Hair,0.96,,
Without her sunglasses the sun hurt Erika’s ,Eyes,0.96,,
Joe did not like his outfit and decided to,Change,0.96,,
The limping horse was obviously in much,Pain,0.96,,
To prevent football injury all players must wear shoulder  ,Pads,0.96,,
To hang the picture Ted needed a hammer and,Nail,0.96,,
After the argument Ann went to her room and slammed the,Door,0.96,,
Father carved the turkey with a,Knife,0.95,Knife,.99 (LU)
Water and sunshine help plants ,Grow,0.95,Grow,.99 (LU)
"When the two met, one of them held out his",Hand,0.95,Hand,.95 (LU)
He mailed the letter without a,Stamp,0.95,Stamp,.99 (VU)
She wore a colorful scarf around her,Neck,0.95,,
The cheap pen ran quickly out of,Ink,0.95,,
He had a long day and was in a bad,Mood,0.95,,
She graduated at the top of her,Class,0.95,,
The athlete enjoying lifting weights at the,Gym,0.95,,
Expecting Jeff’s call she waited for the phone to ,Ring,0.95,,
When she got out of the car she closed the,Door,0.95,,
The package was sent through the,Mail,0.95,,
In the shower he washed his skin with,Soap,0.95,,
You would need a raincoat to avoid getting,Wet,0.95,,
They turned in their project on the date it was,Due,0.95,,
She lied about losing her report card to hide her bad,Grades,0.95,,
For his date Tom bought a long stemmed,Rose,0.95,,
The genie promised the man he would grant one,Wish,0.95,,
One year after her death Bill visited his mother’s,Grave,0.95,,
The children went outside to,Play,0.94,Play,.99 (LU)
The teacher wrote the problem on the,Board,0.94,Board,.91 (LU)
At night the old woman locked the,Door,0.94,Door,.96 (LU)
Her job was easy most of the ,Time,0.94,Time,.91 (VU)
When you go to bed turn off the,Light,0.94,Light,.91 (VU)
After dinner he washed his hands with,Soap,0.94,,
