"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"He hated bees and feared encountering a __________.","hive","0.4300","8.22","15","0.48","2.6600","2","13"
"Above the treehouse were the bees made their __________.","hive","0.6000","8.22","15","0.48","1.5500","2","13"
"After collecting the pollen, the bee returned to his __________.","hive","0.8800","8.22","15","0.48","0.6700","2","13"
"There were hundreds of bees buzzing around the __________.","hive","0.6800","8.22","15","0.48","2.1700","2","13"
"The buzzing noise turned out to be from a __________.","bee","0.5800","8.10","28","0.59","3.0500",\N,\N
"The infant cried when she got stung by a __________.","bee","0.9000","8.10","28","0.59","0.5800",\N,\N
"The boy screamed after he was stung by a __________.","bee","0.8100","8.10","28","0.59","0.8500",\N,\N
"When he was six Martin was stung by a __________.","bee","0.7500","8.10","28","0.59","1.1200",\N,\N
"The falcon searched for food from high in its __________.","nest","0.4200","7.85","16","0.58","2.2200","20","13"
"The bird was so startled it fell from its __________.","nest","0.6200","7.85","16","0.58","1.5700","20","13"
"She loved ice cream when she was a tiny __________.","girl","0.5400","10.61","15","0.66","1.8000","220","15"
"He called home from college saying he'd met a __________.","girl","0.8600","10.61","15","0.66","0.9500","220","15"
"He was so silly the kids called him a __________.","clown","0.6600","7.92","7","0.56","2.2800","3","5"
"The expectant mother was told she was having a __________.","boy","0.4900","10.67","17","0.67","1.9400","242","11"
"In Copenhagen, Renee befriended an extremely cute __________.","boy","0.3500","10.67","17","0.67","3.2500","242","11"
"From so far away Kay looked like a small __________.","child","0.3600","11.08","6","0.68","3.2800","213","3"
"Chris said his dog had always been his best __________.","friend","0.9500","11.30","4","0.67","0.4000","133","3"
"The student spent every recess with his best __________.","friend","0.9300","11.30","4","0.67","0.4100","133","3"
"At the party, Harry was enchanted by the charming __________.","woman","0.3100","11.11","2","0.67","3.4200","224","1"
"Even the mother's singing couldn't calm the screaming __________.","baby","0.7500","10.49","4","0.65","1.0700","62","4"
"Using an ultrasound, the doctor checked the __________.","baby","0.5800","10.49","4","0.65","2.3500","62","4"
"The mother was excited to hold her newborn __________.","baby","0.6600","10.49","4","0.65","1.5000","62","4"
"Roger couldn't whistle yet, as he was just a __________.","baby","0.3300","10.49","4","0.65","2.6100","62","4"
"The disruptive students were given a warning by the __________.","teacher","0.8900","9.74","3","0.65","0.7900",\N,\N
"Taylor looks intimidating but he is not a __________.","bully","0.4800","7.23","10","0.53","2.9400","4","7"
"The scary story had a goblin and a __________.","witch","0.3100","9.00","18","0.60","3.1800","5","15"
"The naive princess was deceived by an evil __________.","witch","0.3800","9.00","18","0.60","3.3000","5","15"
"The crazy old lady was thought of as a __________.","witch","0.4500","9.00","18","0.60","3.4900","5","15"
"The beautiful woman in the story turned into a __________.","witch","0.4400","9.00","18","0.60","3.3300","5","15"
"Dennis looked sweet but really he was a __________.","jerk","0.3500","8.47","13","0.39","3.7500","2","10"
"The first animal sound Jackie learned was for a __________.","cow","0.4000","8.89","15","0.59","3.0700","29","15"
"After his episode everyone thought the man was __________.","crazy","0.5400","9.77","1","0.60","2.6500","34","0"
"Of all the girls at the ball, she claimed the title of the __________.","queen","0.5000","9.77","1","0.67","2.6500",\N,\N
"The incubated egg soon hatched into a baby __________.","chick","0.5100","8.06","24","0.55","2.3900","3","22"
"Out of the brown egg hatched a tiny yellow __________.","chick","0.7100","8.06","24","0.55","1.6400","3","22"
"It is painful to have diseases like __________.","cancer","0.3600","9.81","5","0.63","3.2600","25","4"
"Harrison didn't want to clip the wings of his __________.","bird","0.7100","9.86","29","0.65","1.7100","31","18"
"Every morning, Kate is driven to school by her __________.","mom","0.4300","9.67","15","0.57","2.2400",\N,\N
"The evil witch is always drawn as an old __________.","hag","0.3800","8.30","26","0.34","2.1700","1","24"
"The baby's face puckered when she ate something __________.","sour","0.9400","7.76","13","0.55","0.4800","3","7"
"A good combination of flavors can be sweet and __________.","sour","0.5100","7.76","13","0.55","1.9000","3","7"
"Some people won't eat lemons because they are too __________.","sour","0.7500","7.76","13","0.55","1.2000","3","7"
"The baker said those lemons were especially __________.","sour","0.4000","7.76","13","0.55","2.6100","3","7"
"Kids don't like that particular fruit because it's __________.","sour","0.4400","7.76","13","0.55","2.9400","3","7"
"Sam does not like desserts that are too __________.","sweet","0.8600","9.65","7","0.63","1.0300",\N,\N
"Jerry didn't like the candy because it was too __________.","sweet","0.4300","9.65","7","0.63","2.1500",\N,\N
"One must take time out of every day to __________.","relax","0.3600","8.68","0","0.50","3.2000","19","0"
"Summer vacation is a time to lounge around and __________.","relax","0.6200","8.68","0","0.50","2.2400","19","0"
"After a busy week, I just want to __________.","relax","0.5300","8.68","0","0.50","2.0400","19","0"
