full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
"A|crowd|formed|at|the|beach,|curious|about|the",0.46,peele,4.6,0.5477225575051662,strong CoRT,whale,bread,9,low cloze,,,,,,,,,,,,,,,,,
Adam|watched|in|amazement|as|the|fish|moved|its,0.34,peele,4.25,0.957427107756338,strong CoRT,fins,seasoning,9,low cloze,,,,,,,,,,,,,,,,,
"After|climbing|the|mountain,|they|could|see|the|wooded",0.37,peele,4.2,0.8366600265340756,strong CoRT,forest,panic,9,low cloze,,,,,,,,,,,,,,,,,
"After|soccer|practice,|Logan|threw|his|clothes|in|the",0.42,peele,4.2,0.8366600265340756,strong CoRT,washer,attic,9,low cloze,,,,,,,,,,,,,,,,,
"After|stubbing|her|toe,|the|woman|let|slip|a",0.37,peele,4.25,0.5,strong CoRT,curse,bait,9,low cloze,,,,,,,,,,,,,,,,,
"After|the|vandal|punctured|the|water|tower,|water|began|to",0.43,peele,4.4,0.8944271909999157,strong CoRT,leak,vice,10,low cloze,,,,,,,,,,,,,,,,,
"After|waiting|three|hours,|Cal|whined|and|started|to",0.5,peele,4.166666666666667,0.7527726527090809,strong CoRT,cry,date,9,low cloze,,,,,,,,,,,,,,,,,
Alice|tested|the|cake's|temperature|with|a|gentle,0.39,peele,4.0,1.224744871391589,strong CoRT,touch,sin,8,low cloze,,,,,,,,,,,,,,,,,
"Annabelle|was|so|angry,|she|began|to",0.37,peele,4.166666666666667,1.3291601358251257,strong CoRT,cry,watch,7,low cloze,,,,,,,,,,,,,,,,,
"As|night|fell,|all|of|the|dogs|began|to",0.44,peele,4.5,0.5773502691896257,strong CoRT,howl,forests,9,low cloze,,,,,,,,,,,,,,,,,
Barb|pulled|her|sleeve|back|to|reveal|a|big,0.39,peele,4.5,0.5773502691896257,strong CoRT,bruise,dress,9,low cloze,,,,,,,,,,,,,,,,,
Before|placing|each|brick|he|applied|a|glob|of,0.46,peele,4.666666666666667,0.5773502691896258,strong CoRT,cement,garden,9,low cloze,,,,,,,,,,,,,,,,,
Daniel|backed|his|car|into|the|base|of|the|basketball,0.36,peele,4.2,0.8366600265340756,strong CoRT,hoop,vase,10,low cloze,,,,,,,,,,,,,,,,,
During|the|battle|all|of|the|sailors|fled|the,0.37,peele,5.0,0.0,strong CoRT,ship,back,9,low cloze,,,,,,,,,,,,,,,,,
Elle|let|out|her|frustration|in|a|big,0.47,peele,4.2,0.8366600265340756,strong CoRT,sigh,diet,8,low cloze,,,,,,,,,,,,,,,,,
Grandmother|baked|a|pie|and|set|it|on|the,0.34,peele,4.4,0.8944271909999159,strong CoRT,counter,kick,9,low cloze,,,,,,,,,,,,,,,,,
Greta|quickly|woke|after|Jess|gave|her|a|painful,0.39,peele,4.5,0.5773502691896257,strong CoRT,pinch,art,9,low cloze,,,,,,,,,,,,,,,,,
"In|the|front|lawn,|Irvin|planted|a|big,|green",0.44,peele,4.0,0.8944271909999159,strong CoRT,tree,cab,9,low cloze,,,,,,,,,,,,,,,,,
"In|woodshop,|Alex|smoothed|the|baseball|bat|with|the",0.32,peele,4.75,0.5,strong CoRT,sander,mail,9,low cloze,,,,,,,,,,,,,,,,,
It|was|too|windy|so|Jen|reeled|in|her,0.45,peele,4.75,0.5,strong CoRT,kite,sin,9,low cloze,,,,,,,,,,,,,,,,,
Jared|burned|his|tongue|while|drinking|the|hot,0.45,peele,4.0,1.224744871391589,strong CoRT,coffee,met,8,low cloze,,,,,,,,,,,,,,,,,
Jason|fell|off|his|skateboard|when|he|hit|the,0.34,peele,4.6,0.547722557505166,strong CoRT,curb,dress,9,low cloze,,,,,,,,,,,,,,,,,
Julia|fastened|the|scarf|around|her|neck|with|a,0.36,peele,4.6,0.8944271909999159,strong CoRT,pin,bleak,9,low cloze,,,,,,,,,,,,,,,,,
Lucy|hid|Liam's|presents|so|he|had|to|carefully,0.46,peele,4.6,0.5477225575051662,strong CoRT,search,salt,9,low cloze,,,,,,,,,,,,,,,,,
