CUE, TARGET, NORMED?, #G, #P, FSG, BSG, MSG, OSG, #M, MMIAS, #O, OMIAS, QSS, QFR, QCON, QH, QPS, QMC, QPR, QRSG, QUC, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC
SABER, SWORD, YES, 156, 52, .333, .083, .0041, .0247, 2, 0, 2.0, 1, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 18, 7, 5.25, , N, 2.00, .40, .051, 1
SABER, TOOTH, YES, 156, 30, .192, 0.000, .0010, 0.0000, 1, 0, 0.0, 0, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 14, 20, 6.15, , N, .50, .43, .105, 1
SABER, KNIFE, YES, 156, 12, .077, 0.000, .1037, .0197, 2, 0, 2.0, 0, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 13, 76, 6.08, , N, 1.46, .69, .222, 1
SABER, SAW, YES, 156, 10, .064, 0.000, 0.0000, .0029, 0, 0, 1.0, 1, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 13, 352, 4.57, N, N, .92, .46, .017, 1
SABER, TIGER, YES, 156, 9, .058, 0.000, 0.0000, .0020, 0, 0, 1.0, 1, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 15, 7, 6.07, , N, 1.13, .20, .115, 1
SABER, SHARP, YES, 156, 4, .026, 0.000, .0272, .0102, 2, 0, 1.0, 0, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 18, 72, 4.12, N, AJ, 2.24, .59, .108, 1
SABER, CAT, YES, 156, 2, .013, 0.000, .0089, 0.0000, 1, 0, 0.0, 0, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 3, 23, 6.21, , N, 0.00, 1.00, .607, 1
SABER, FENCE, YES, 156, 2, .013, 0.000, 0.0000, .0053, 0, 0, 1.0, 1, 8, 1, 4.61, , N, 1.00, .13, .028, 1, 20, 30, 5.85, N, N, .94, .39, .106, 1
SACK, BAG, YES, 198, 88, .444, .110, .0027, .0005, 2, 0, 1.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 17, 42, 6.30, , N, 1.06, .50, .062, 1
SACK, POTATO, YES, 198, 47, .237, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 23, 15, 7.00, , N, 1.71, .48, .098, 1
SACK, BED, YES, 198, 7, .035, 0.000, .0003, 0.0000, 1, 0, 0.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 11, 127, 6.59, , N, 1.45, .64, .096, 1
SACK, FLOUR, YES, 198, 7, .035, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 13, 8, 6.39, , N, 2.18, .27, .005, 1
SACK, POUCH, YES, 198, 5, .025, .062, 0.0000, .0408, 0, 0, 1.0, 1, 9, 8, 5.70, N, N, .44, .33, .051, 1, 11, 2, 6.50, , N, 1.18, .18, .045, 1
SACK, CLOTH, YES, 198, 2, .010, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 21, 40, 5.76, , N, 2.90, .52, .089, 1
SACK, GROCERIES, YES, 198, 2, .010, 0.000, .0244, .0182, 1, 0, 1.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 11, 2, 6.67, , N, 1.67, .22, .015, 1
SACK, HIT, YES, 198, 2, .010, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 9, 8, 5.70, N, N, .44, .33, .051, 1, 18, 115, 4.39, G, V, 1.18, .47, .045, 1
SACK, NAP, YES, 198, 2, .010, .013, 0.0000, .0009, 0, 0, 1.0, 1, 9, 8, 5.70, N, N, .44, .33, .051, 1, 11, 4, ¥, T, V, 1.45, .18, .001, 1
SACRED, HOLY, YES, 132, 20, .152, .043, .0012, .0095, 3, 2, 3.0, 1, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 15, 49, 2.32, , AJ, 2.77, .69, .018, 1
SACRED, RELIGION, YES, 132, 9, .068, 0.000, .0082, .0113, 4, 2, 3.0, 0, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 14, 119, 3.71, , N, 3.33, .83, .107, 1
SACRED, FRIGHTENED, YES, 132, 7, .053, 0.000, 0.0000, .0002, 0, 2, 1.0, 1, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 6, 26, ¥, , V, 1.33, .17, .247, 1
SACRED, CHURCH, YES, 132, 5, .038, 0.000, .0398, .0173, 5, 2, 4.0, 0, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 15, 348, 5.82, , N, 2.14, 1.00, .122, 1
SACRED, HEART, YES, 132, 5, .038, 0.000, .0006, .0035, 1, 2, 1.0, 0, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 16, 173, 6.02, , N, 1.40, .53, .038, 1
SACRED, SPECIAL, YES, 132, 5, .038, 0.000, .0017, .0053, 2, 2, 4.0, 2, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 20, 245, ¥, , AJ, 1.67, .39, .013, 1
SACRED, CROSS, YES, 132, 4, .030, 0.000, .0126, .0107, 3, 2, 4.0, 1, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 18, 55, 5.10, G, N, 2.00, .56, .012, 1
SACRED, IMPORTANT, YES, 132, 4, .030, 0.000, .0063, .0008, 3, 2, 1.0, 0, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 25, 369, 2.38, , AJ, .76, .41, .026, 0
SACRED, GOD, YES, 132, 3, .023, 0.000, .0428, .0088, 6, 2, 4.0, 1, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 23, 318, 3.61, , N, 1.75, .70, .148, 1
SACRED, LOVE, YES, 132, 3, .023, 0.000, .0107, .0011, 5, 2, 1.0, 0, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 18, 232, 3.51, , N, 1.67, .78, .236, 1
SACRED, PRECIOUS, YES, 132, 3, .023, .038, .0005, .0033, 1, 2, 3.0, 2, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 23, 29, ¥, , AJ, 2.18, .32, .009, 1
SACRED, SECRET, YES, 132, 3, .023, 0.000, .0013, .0006, 1, 2, 2.0, 1, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, 24, 52, ¥, , AJ, 1.00, .43, .027, 1
SACRED, CHERISHED, NO, 132, 2, .015, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 21, 38, ¥, , AJ, 2.16, .11, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
