CUE, TARGET, NORMED?, #G, #P, FSG, BSG, MSG, OSG, #M, MMIAS, #O, OMIAS, QSS, QFR, QCON, QH, QPS, QMC, QPR, QRSG, QUC, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC
TAB, SODA, YES, 148, 23, .155, 0.000, .0262, .0318, 4, 1, 5.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 12, 3, 5.96, , N, 1.80, .70, .227, 1
TAB, BILL, YES, 148, 22, .149, 0.000, .0008, .0078, 2, 1, 2.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 16, 133, 5.36, N, N, 1.38, .38, .037, 1
TAB, COKE, YES, 148, 14, .095, 0.000, .0365, .0363, 4, 1, 2.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 9, 4, 5.68, , N, 1.57, .71, .047, 1
TAB, DRINK, YES, 148, 8, .054, 0.000, .0542, .0144, 7, 1, 4.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 20, 82, 4.95, G, V, 2.58, .90, .117, 1
TAB, CAN, YES, 148, 7, .047, 0.000, .0060, .0205, 2, 1, 4.0, 2, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 20, 1772, 3.61, N, V, 1.95, .58, .120, 1
TAB, COLA, NO, 148, 6, .041, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TAB, BAR, YES, 148, 5, .034, 0.000, 0.0000, .0230, 0, 1, 2.0, 2, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 13, 82, 6.40, N, N, 2.23, .46, .013, 1
TAB, MONEY, YES, 148, 5, .034, 0.000, .0333, .0023, 3, 1, 2.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 19, 265, 5.77, , N, 1.39, .89, .312, 1
TAB, PULL, YES, 148, 3, .020, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 10, 51, 3.40, , V, .67, .67, .318, 1
TAB, TYPEWRITER, YES, 148, 3, .020, 0.000, 0.0000, .0002, 0, 1, 1.0, 1, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 17, 10, 5.82, , N, 2.38, .31, .007, 1
TAB, BEER, YES, 148, 2, .014, 0.000, .0133, .0119, 3, 1, 2.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 22, 34, 5.83, , N, 2.17, .67, .094, 1
TAB, BOOK, YES, 148, 2, .014, 0.000, .0006, .0008, 2, 1, 1.0, 1, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 15, 193, 6.09, , N, 1.57, .71, .237, 1
TAB, CHECK, YES, 148, 2, .014, 0.000, .0137, .0145, 2, 1, 3.0, 1, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 13, 88, 4.38, N, N, 1.00, .39, .020, 1
TAB, POP, YES, 148, 2, .014, 0.000, .0680, .0737, 1, 1, 4.0, 2, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 15, 8, 3.85, , V, 1.79, .36, .203, 1
TAB, TOTAL, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 6, 211, 3.62, , N, 1.67, .33, .070, 1
TAB, WATER, YES, 148, 2, .014, 0.000, .0082, .0090, 1, 1, 1.0, 0, 16, 1, ¥, N, N, 2.20, 0.00, 0.000, 1, 18, 442, 6.27, , N, 2.00, .94, .146, 1
TABLE, CHAIR, YES, 156, 118, .756, .314, .0079, .0031, 2, 1, 2.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 14, 66, 6.12, , N, 2.46, .85, .396, 1
TABLE, CLOTH, YES, 156, 4, .026, .012, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 21, 40, 5.76, , N, 2.90, .52, .089, 1
TABLE, EAT, YES, 156, 4, .026, 0.000, .0022, 0.0000, 1, 1, 0.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 11, 61, 4.75, , N, 1.20, .70, .181, 1
TABLE, DESK, YES, 156, 3, .019, .090, .0144, .2212, 1, 1, 2.0, 1, 10, 198, 6.00, , N, .67, .33, .239, 1, 18, 65, 5.79, , N, 3.17, .33, .013, 1
TABLE, DINNER, YES, 156, 3, .019, 0.000, 0.0000, .0030, 0, 1, 1.0, 1, 10, 198, 6.00, , N, .67, .33, .239, 1, 5, 91, 5.38, , N, 3.40, .60, .336, 1
TABLE, TOP, YES, 156, 3, .019, 0.000, .0020, 0.0000, 1, 1, 0.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 11, 204, 4.31, T, N, .82, .55, .359, 1
TABLE, LEGS, YES, 156, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 13, 58, 6.04, , N, 1.18, .46, .311, 1
TABLE, SETTING, NO, 156, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 10, 198, 6.00, , N, .67, .33, .239, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABLE, SIT, YES, 156, 2, .013, 0.000, .1603, .1383, 1, 1, 1.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 14, 67, 4.33, , V, 1.17, .58, .230, 1
TABLE, TENNIS, YES, 156, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 10, 198, 6.00, , N, .67, .33, .239, 1, 9, 15, 5.54, , N, 1.67, .89, .127, 1
TABLET, PILL, YES, 151, 33, .219, .028, .0079, .0284, 3, 2, 6.0, 3, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 14, 15, 5.88, , N, 1.55, .36, .028, 0
TABLET, ASPIRIN, YES, 151, 24, .159, .015, .0319, .0077, 3, 2, 2.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 10, 3, 5.70, , N, 2.60, .80, .118, 1
TABLET, PAPER, YES, 151, 20, .132, 0.000, .0115, .0058, 4, 2, 2.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 15, 157, 5.96, , N, 1.07, .64, .058, 1
TABLET, MEDICINE, YES, 151, 9, .060, 0.000, .0611, .0211, 4, 2, 4.0, 1, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 27, 30, 5.27, , N, 2.42, .39, .041, 1
TABLET, COMMANDMENTS, NO, 151, 7, .046, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 17, 3, ¥, G, N, 2.00, .13, .009, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABLET, STONE, YES, 151, 4, .026, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 10, 58, 6.32, , N, .78, .22, .179, 1
TABLET, TYLENOL, YES, 151, 4, .026, 0.000, .0084, .0736, 1, 2, 4.0, 3, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 11, 0, ¥, , N, 4.40, .40, .035, 1
TABLET, CAPSULE, NO, 151, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 17, 3, ¥, G, N, 2.00, .13, .009, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABLET, PAD, YES, 151, 3, .020, 0.000, 0.0000, .0479, 0, 2, 3.0, 3, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 13, 8, 5.85, , N, 1.62, .15, .002, 1
TABLET, VITAMIN, YES, 151, 3, .020, 0.000, .0031, .0285, 1, 2, 1.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 14, 5, ¥, , N, 1.00, .38, .007, 0
TABLET, WATER, YES, 151, 3, .020, 0.000, .0041, 0.0000, 3, 2, 0.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 18, 442, 6.27, , N, 2.00, .94, .146, 1
TABLET, CHAIR, YES, 151, 2, .013, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 14, 66, 6.12, , N, 2.46, .85, .396, 1
TABLET, GLASS, YES, 151, 2, .013, 0.000, 0.0000, .0005, 0, 2, 1.0, 1, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 21, 99, 6.31, T, N, 1.55, .65, .089, 1
TABLET, NOTES, YES, 151, 2, .013, 0.000, 0.0000, .0184, 0, 2, 2.0, 2, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 17, 57, 6.20, G, N, 2.29, .18, .006, 1
TABLET, PEN, YES, 151, 2, .013, 0.000, .0440, .0152, 4, 2, 2.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 4, 18, 5.59, N, N, 2.00, 1.00, .429, 1
TABLET, SICK, YES, 151, 2, .013, 0.000, .0194, .0010, 3, 2, 1.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 13, 51, 3.89, , AJ, 2.23, .92, .390, 1
TABLET, WRITE, YES, 151, 2, .013, 0.000, .0211, .0157, 3, 2, 2.0, 0, 17, 3, ¥, G, N, 2.00, .13, .009, 1, 16, 106, 4.42, , V, 2.25, .81, .191, 1
TABOO, BAD, YES, 197, 20, .102, 0.000, .0144, 0.0000, 9, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 9, 142, 3.00, , AJ, .33, .56, .571, 1
TABOO, FORBIDDEN, YES, 197, 12, .061, .021, 0.0000, .0060, 0, 4, 4.0, 4, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 20, 0, 3.44, , AJ, 1.31, .06, .001, 1
TABOO, NO, YES, 197, 12, .061, 0.000, .0044, .0014, 2, 4, 1.0, 1, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 9, 2201, 3.14, , AD, .57, .71, .643, 1
TABOO, VOODOO, YES, 197, 12, .061, .013, .0003, .0064, 1, 4, 7.0, 6, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 20, 2, ¥, , N, 2.29, .14, .001, 0
TABOO, EVIL, YES, 197, 11, .056, 0.000, .0042, .0152, 3, 4, 2.0, 1, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 11, 72, 2.28, , AJ, 2.09, .73, .068, 1
TABOO, WRONG, YES, 197, 7, .036, 0.000, .0030, .0042, 3, 4, 1.0, 1, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 6, 129, 2.60, , AJ, .67, .67, .320, 1
TABOO, WITCH, YES, 197, 6, .030, 0.000, .0129, .0074, 5, 4, 2.0, 1, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 22, 5, 5.28, , N, 1.00, .28, .026, 0
TABOO, SUPERSTITION, YES, 197, 5, .025, 0.000, .0016, .0038, 1, 4, 4.0, 3, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 27, 8, ¥, , N, 1.52, .04, 0.000, 1
TABOO, INCEST, NO, 197, 4, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 24, 3, 1.96, , N, 1.70, .10, .002, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABOO, MYTH, YES, 197, 4, .020, 0.000, .0005, 0.0000, 1, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 19, 35, 3.18, , N, 2.94, .22, .010, 1
TABOO, CURSE, YES, 197, 3, .015, 0.000, .0020, .0154, 1, 4, 5.0, 4, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 16, 11, 4.02, , N, 2.00, .27, .055, 0
TABOO, SEX, YES, 197, 3, .015, 0.000, .0003, 0.0000, 1, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 15, 84, 5.33, , N, 1.71, .57, .043, 1
TABOO, HEX, NO, 197, 2, .010, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 24, 3, 1.96, , N, 1.70, .10, .002, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABOO, IMMORAL, YES, 197, 2, .010, 0.000, 0.0000, .0177, 0, 4, 3.0, 3, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 8, 5, 1.81, , AJ, 1.12, .25, .019, 1
TABOO, INDIAN, YES, 197, 2, .010, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 17, 52, 6.18, , N, .36, .50, .118, 1
TABOO, JINX, NO, 197, 2, .010, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 24, 3, 1.96, , N, 1.70, .10, .002, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABOO, NORM, YES, 197, 2, .010, 0.000, 0.0000, .0004, 0, 4, 1.0, 1, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 26, 10, 2.18, , N, 2.91, .17, .005, 1
TABOO, OLD, YES, 197, 2, .010, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 9, 660, 3.41, , AJ, .38, .75, .532, 1
TABOO, RESTRICTION, YES, 197, 2, .010, 0.000, .0013, .0009, 1, 4, 1.0, 1, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 14, 8, ¥, , N, .73, .18, .002, 0
TABOO, SACRED, YES, 197, 2, .010, 0.000, .0008, 0.0000, 1, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 21, 38, ¥, , AJ, 2.16, .11, .007, 1
TABOO, SIGN, YES, 197, 2, .010, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 15, 94, 5.16, N, N, 1.73, .33, .048, 1
TABOO, SPELL, YES, 197, 2, .010, 0.000, .0012, .0039, 2, 4, 3.0, 3, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 21, 19, 3.49, N, V, 1.58, .16, .010, 1
TABOO, TATTOO, NO, 197, 2, .010, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 24, 3, 1.96, , N, 1.70, .10, .002, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TABOO, WEIRD, YES, 197, 2, .010, 0.000, .0011, 0.0000, 2, 4, 0.0, 0, 24, 3, 1.96, , N, 1.70, .10, .002, 1, 15, 10, 2.39, , AJ, 3.69, .85, .165, 1
TACK, NAIL, YES, 127, 23, .181, 0.000, .0607, .0243, 3, 0, 1.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 6, 6, 5.60, T, N, .33, .67, .512, 1
TACK, THUMB, YES, 127, 21, .165, .054, 0.0000, .0319, 0, 0, 1.0, 1, 12, 4, 5.64, T, N, .67, .17, .009, 1, 8, 10, 6.58, , N, .83, .50, .058, 1
TACK, SHARP, YES, 127, 13, .102, 0.000, .0053, .0028, 1, 0, 1.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 18, 72, 4.12, N, AJ, 2.24, .59, .108, 1
TACK, PIN, YES, 127, 10, .079, 0.000, .0051, .0095, 2, 0, 2.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 15, 16, 5.81, , N, 1.14, .57, .076, 1
TACK, HORSE, YES, 127, 6, .047, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 16, 117, 6.03, , N, 1.15, .77, .304, 1
TACK, HAMMER, YES, 127, 5, .039, 0.000, .1126, .1448, 1, 0, 1.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 7, 9, 5.77, , N, .57, .57, .517, 1
TACK, BOARD, YES, 127, 3, .024, 0.000, 0.0000, .0036, 0, 0, 1.0, 1, 12, 4, 5.64, T, N, .67, .17, .009, 1, 21, 239, 6.87, N, N, .63, .42, .100, 1
TACK, STAPLE, YES, 127, 3, .024, .022, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 11, 1, 5.83, N, N, .91, .27, .038, 1
TACK, STICK, YES, 127, 3, .024, 0.000, .0088, .0048, 1, 0, 1.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 24, 39, 6.00, N, N, 1.24, .33, .056, 1
TACK, FOOT, YES, 127, 2, .016, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 9, 70, 3.46, N, N, 1.11, .67, .293, 1
TACK, PICTURE, YES, 127, 2, .016, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 11, 162, 6.75, , N, 1.50, .90, .354, 1
TACK, SIT, YES, 127, 2, .016, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 4, 5.64, T, N, .67, .17, .009, 1, 14, 67, 4.33, , V, 1.17, .58, .230, 1
TACKLE, FOOTBALL, YES, 147, 53, .361, .014, .0015, .0005, 2, 0, 1.0, 0, 11, 10, ¥, , V, .82, .18, .011, 1, 23, 36, 5.75, , N, 3.14, .67, .077, 1
TACKLE, FISHING, YES, 147, 16, .109, 0.000, 0.0000, .0151, 0, 0, 2.0, 2, 11, 10, ¥, , V, .82, .18, .011, 1, 15, 32, 5.05, , N, 2.00, .50, .065, 1
TACKLE, BAIT, YES, 147, 14, .095, .060, .0025, .0598, 1, 0, 1.0, 1, 11, 10, ¥, , V, .82, .18, .011, 1, 8, 2, ¥, , N, 1.14, .29, .007, 1
TACKLE, FISH, YES, 147, 14, .095, 0.000, .0746, 0.0000, 2, 0, 0.0, 0, 11, 10, ¥, , V, .82, .18, .011, 1, 24, 35, 5.84, G, N, 1.26, .74, .101, 1
TACKLE, BOX, YES, 147, 10, .068, 0.000, .0016, 0.0000, 1, 0, 0.0, 0, 11, 10, ¥, , V, .82, .18, .011, 1, 15, 70, 5.91, N, N, .73, .67, .080, 1
TACKLE, ATTACK, YES, 147, 6, .041, 0.000, 0.0000, .0018, 0, 0, 1.0, 1, 11, 10, ¥, , V, .82, .18, .011, 1, 20, 105, 3.87, , V, 2.70, .20, .014, 1
TACKLE, FIGHT, YES, 147, 3, .020, 0.000, .0044, .0055, 2, 0, 1.0, 1, 11, 10, ¥, , V, .82, .18, .011, 1, 24, 98, 4.16, , V, 2.05, .50, .106, 1
TACKLE, BALL, YES, 147, 2, .014, 0.000, .0126, .0155, 1, 0, 1.0, 0, 11, 10, ¥, , V, .82, .18, .011, 1, 17, 110, 6.08, N, N, 1.76, .65, .131, 1
TACKLE, DEFENSE, YES, 147, 2, .014, 0.000, 0.0000, .0235, 0, 0, 2.0, 2, 11, 10, ¥, , V, .82, .18, .011, 1, 18, 167, ¥, , N, 1.69, .06, .190, 1
TACKLE, DOWN, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 11, 10, ¥, , V, .82, .18, .011, 1, 10, 895, 3.23, W, AD, .60, .80, .499, 1
TACKLE, GRAB, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 11, 10, ¥, , V, .82, .18, .011, 1, 18, 16, ¥, , V, 1.44, .50, .040, 1
TACT, POLITE, YES, 145, 14, .097, 0.000, .0067, .0112, 2, 3, 2.0, 1, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 9, 7, 3.30, , AJ, 2.57, .29, .014, 1
TACT, TACTFUL, YES, 145, 7, .048, 0.000, 0.0000, .0103, 0, 3, 8.0, 8, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 18, 2, ¥, , AJ, 1.58, 0.00, 0.000, 0
TACT, CLASS, YES, 145, 4, .028, 0.000, .0006, 0.0000, 1, 3, 0.0, 0, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 23, 207, 5.03, G, N, 2.83, .61, .027, 1
TACT, COUTH, NO, 145, 4, .028, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TACT, DIPLOMACY, NO, 145, 4, .028, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
TACT, MANNERS, YES, 145, 4, .028, 0.000, .0064, .0184, 3, 3, 3.0, 2, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 15, 15, ¥, , N, 2.08, .31, .082, 1
TACT, NICE, YES, 145, 4, .028, 0.000, .0409, .0013, 5, 3, 1.0, 0, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 14, 75, 2.75, , AJ, 2.93, .71, .118, 1
TACT, CAREFUL, YES, 145, 3, .021, 0.000, .0019, 0.0000, 1, 3, 0.0, 0, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 14, 62, ¥, , AJ, .50, .42, .211, 1
TACT, GOOD, YES, 145, 3, .021, 0.000, .0047, .0003, 5, 3, 1.0, 0, 15, 6, 3.10, , N, 1.58, 0.00, 0.000, 1, 8, 807, 2.53, , AJ, .75, .75, .586, 1
