full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
A|black|European|crow|is|sometimes|called|a,0.42,peele,1.5,1.0,strong non-CoRT,raven,solution,8,low cloze,,,,,,,,,,,,,,,,,
"A|natural|leader,|Eve|was|a|great|hospital",0.31,peele,1.8,1.7888543819998317,strong non-CoRT,administrator,tub,8,low cloze,,,,,,,,,,,,,,,,,
"After|a|long|day,|Carol|found|it|relaxing|to",0.37,peele,1.6666666666666667,1.2110601416389968,strong non-CoRT,read,beetle,9,low cloze,,,,,,,,,,,,,,,,,
"After|moving|jobs,|Jim|wasn't|sure|where|to",0.35,peele,1.4,0.5477225575051661,strong non-CoRT,live,fly,8,low cloze,,,,,,,,,,,,,,,,,
"Ali|disliked|her|boss,|a|man|she|had|come|to",0.34,peele,1.5,0.5773502691896257,strong non-CoRT,hate,ship,10,low cloze,,,,,,,,,,,,,,,,,
All|the|teacher|wanted|was|for|the|kids|to,0.42,peele,1.8,1.3038404810405295,strong non-CoRT,learn,selfcomplicated,9,low cloze,,,,,,,,,,,,,,,,,
Andrew|hadn't|made|a|decision|but|was|on|the,0.44,peele,1.75,0.9574271077563382,strong non-CoRT,fence,fast,9,low cloze,,,,,,,,,,,,,,,,,
Andrew's|favorite|type|of|fruit|is|the,0.31,peele,1.6666666666666667,0.5773502691896257,strong non-CoRT,apple,fuss,7,low cloze,,,,,,,,,,,,,,,,,
At|work|Karen|listens|to|music|to|stay,0.4,peele,2.0,1.4142135623730951,strong non-CoRT,awake,mace,8,low cloze,,,,,,,,,,,,,,,,,
Being|a|father|and|a|businessman|made|his|role,0.31,peele,1.0,0.0,strong non-CoRT,difficult,zoo,9,low cloze,,,,,,,,,,,,,,,,,
Between|the|two|curtains|there|was|a|big,0.33,peele,2.0,1.224744871391589,strong non-CoRT,gap,love,8,low cloze,,,,,,,,,,,,,,,,,
Casey|didn't|go|to|the|movie|theater,0.45,peele,1.25,0.5,strong non-CoRT,alone,tire,7,low cloze,,,,,,,,,,,,,,,,,
Charles|worried|when|he|felt|a|pain|near|his,0.48,peele,2.0,1.0,strong non-CoRT,heart,dual,9,low cloze,,,,,,,,,,,,,,,,,
David's|shirt|was|such|a|boring|shade|of,0.33,peele,2.0,1.4142135623730951,strong non-CoRT,gray,bun,8,low cloze,,,,,,,,,,,,,,,,,
Dennis|looked|sweet|but|really|he|was|a,0.35,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,jerk,job,8,low cloze,,,,,,,,,,,,,,,,,
During|autumn|the|air|is|crisp|and,0.35,block_baldwin,1.6666666666666667,1.6329931618554518,strong non-CoRT,cold,steal,7,low cloze,,,,,,,,,,,,,,,,,
Dustin's|score|was|much|lower|than|what|he|had,0.33,peele,1.4,0.5477225575051661,strong non-CoRT,expected,wag,9,low cloze,,,,,,,,,,,,,,,,,
Eva|is|constantly|complimented|on|her|trendy,0.34,peele,1.8,0.8366600265340756,strong non-CoRT,clothes,lip,7,low cloze,,,,,,,,,,,,,,,,,
Even|more|than|the|cookies|Davis|liked|the,0.46,peele,1.5,0.5773502691896257,strong non-CoRT,cake,theme,8,low cloze,,,,,,,,,,,,,,,,,
Everyone|who|knew|him|said|he|had|a|big,0.49,peele,1.5,0.5773502691896257,strong non-CoRT,heart,growl,9,low cloze,,,,,,,,,,,,,,,,,
"For|the|girl's|birthday,|Russell|didn't|know|what|to",0.39,peele,1.75,0.957427107756338,strong non-CoRT,buy,pile,9,low cloze,,,,,,,,,,,,,,,,,
Fran's|boss|thought|David|was|good|enough|to,0.45,peele,1.75,0.9574271077563382,strong non-CoRT,promote,bribe,8,low cloze,,,,,,,,,,,,,,,,,
Fred's|wife|claimed|he|was|too|stoic|to|express,0.4,peele,2.0,0.8944271909999159,strong non-CoRT,emotion,awol,9,low cloze,,,,,,,,,,,,,,,,,
He|didn't|like|the|puppies|because|they|would|always,0.49,peele,1.6666666666666667,0.5163977794943223,strong non-CoRT,bark,lose,9,low cloze,,,,,,,,,,,,,,,,,
Heather's|young|kids|were|only|one|and,0.47,peele,1.25,0.5,strong non-CoRT,three,style,7,low cloze,,,,,,,,,,,,,,,,,
Helen|was|happy|in|life|and|especially|loved|her,0.35,peele,1.8,0.8366600265340756,strong non-CoRT,husband,cry,9,low cloze,,,,,,,,,,,,,,,,,
Helen's|concerned|friend|omitted|the|bad|news|for|her,0.39,peele,2.0,0.7071067811865476,strong non-CoRT,sake,fall,9,low cloze,,,,,,,,,,,,,,,,,
Her|disease|created|some|difficulties|but|she|could,0.46,peele,1.3333333333333333,0.5163977794943223,strong non-CoRT,manage,row,8,low cloze,,,,,,,,,,,,,,,,,
Her|grandfather|was|a|criminal|who|would,0.48,peele,1.4,0.8944271909999159,strong non-CoRT,steal,there,7,low cloze,,,,,,,,,,,,,,,,,
His|mother|cautioned|him|about|letting|the|bananas,0.38,peele,1.5,0.5773502691896257,strong non-CoRT,rot,date,8,low cloze,,,,,,,,,,,,,,,,,
Ian's|daughter|wanted|to|sit|where|he|always,0.46,peele,1.6,1.3416407864998738,strong non-CoRT,sat,voice,8,low cloze,,,,,,,,,,,,,,,,,
Ian's|favorite|pie|was|either|apple|or,0.43,peele,1.25,0.5,strong non-CoRT,cherry,hair,7,low cloze,,,,,,,,,,,,,,,,,
If|corn|isn't|ready|it|will|be|hard|to,0.43,peele,2.0,0.8164965809277259,strong non-CoRT,eat,boat,9,low cloze,,,,,,,,,,,,,,,,,
"In|her|free|time,|Meredith|really|liked|to",0.49,peele,1.6666666666666667,0.8164965809277259,strong non-CoRT,read,built,8,low cloze,,,,,,,,,,,,,,,,,
"In|order|to|stay|in|shape,|Jessica|liked|to",0.46,peele,1.6666666666666667,1.0327955589886444,strong non-CoRT,run,numb,9,low cloze,,,,,,,,,,,,,,,,,
"In|order|to|work,|the|machine|needed|a|copper",0.32,peele,2.0,1.0,strong non-CoRT,wire,lobe,9,low cloze,,,,,,,,,,,,,,,,,
In|sailing|you|have|to|handle|a|lot|of,0.32,peele,2.0,1.0,strong non-CoRT,ropes,can,9,low cloze,,,,,,,,,,,,,,,,,
In|seven|days|the|princess|was|to|be,0.31,peele,1.75,0.9574271077563382,strong non-CoRT,married,mat,8,low cloze,,,,,,,,,,,,,,,,,
In|the|mornings|it|was|hard|for|Jim|to,0.37,peele,1.5,1.224744871391589,strong non-CoRT,wake,sail,9,low cloze,,,,,,,,,,,,,,,,,
It|is|important|for|swimmers|to|learn|how|to,0.34,peele,1.25,0.5,strong non-CoRT,float,relax,9,low cloze,,,,,,,,,,,,,,,,,
It|is|important|not|to|donate|to|a,0.39,peele,1.75,0.957427107756338,strong non-CoRT,scam,sin,8,low cloze,,,,,,,,,,,,,,,,,
Jared|was|so|sure|that|he|was|in|the,0.4,peele,1.4,0.8944271909999159,strong non-CoRT,right,search,9,low cloze,,,,,,,,,,,,,,,,,
Jesse|was|recognized|for|always|wearing|a,0.35,peele,1.75,0.957427107756338,strong non-CoRT,hat,letter,7,low cloze,,,,,,,,,,,,,,,,,
Joe|liked|the|foreign|city|but|didn't|want|to,0.34,peele,2.0,0.6324555320336759,strong non-CoRT,stay,thief,9,low cloze,,,,,,,,,,,,,,,,,
Jordan|learned|a|lot|about|cars|from|his,0.45,peele,1.3333333333333333,0.5773502691896258,strong non-CoRT,dad,scramble,8,low cloze,,,,,,,,,,,,,,,,,
