,index,cloze_probability,dataset,CoRT,CoRT_std,condition,full_sentence,target_word,random_word,accepted,reason,cause_effect,dynamic_verb,orientation,negative,sentence_modified ,modified_sentence,"maybe: present/past/future, "
0,10,0.51,peele,1,0,non-CoRT,A good combination of flavors can be sweet and sour,sour,purse,yes,,no,no,,,no,,
1,128,0.58,peele,5,0,CoRT,After the dog ate the trash he began to vomit,vomit,head,yes,,yes,yes,animal,no,no,,
2,193,0.7,peele,1,0,non-CoRT,"Among other things, vegetarians do not eat meat",meat,god,yes,,no,yes,,,no,,
3,281,0.99,peele,1,0,non-CoRT,Be careful not to touch the pan when it's hot,hot,leash,yes,,yes,yes,,,no,,
4,309,0.31,peele,1,0,non-CoRT,Being a father and a businessman made his role difficult,difficult,bell,yes,,no,no,,,no,,
5,467,0.37,peele,5,0,CoRT,During the battle all of the sailors fled the ship,ship,debt,yes,,no,yes,person,no,no,,
6,580,0.76,peele,1,0,non-CoRT,"For many people, textbooks are a good learning tool",tool,vomit,yes,,no,no,,,no,,
7,604,0.7,peele,1,0,non-CoRT,"Gaby disliked spinach, a veggie she claimed she'd always hated",hated,face,yes,,no,yes,,,no,,
8,748,0.92,block_baldwin,1,0,non-CoRT,I could not remember his name,name,hire,yes,,no,no,,,no,,
9,762,0.61,peele,1,0,non-CoRT,"If Phil decides to cook dinner, then cook he will",will,splash,yes,,yes,yes,,,no,,
10,822,0.76,block_baldwin,1,0,non-CoRT,Instead of dressing I prefer vinegar and oil,oil,tire,yes,,no,no,,,no,,
11,833,0.36,peele,1,0,non-CoRT,It is painful to have diseases like cancer,cancer,cake,yes,,no,no,,,no,,
12,938,0.74,peele,5,0,CoRT,Karen put the grilled hamburger on a brioche bun,bun,stupid,yes,,no,yes,person,no,no,,
13,984,0.35,block_baldwin,1,0,non-CoRT,Lois is taller than most girls,girls,crash,yes,,no,no,,,no,,
14,1070,0.43,peele,1,0,non-CoRT,Mrcoach,Mrcoach,ditch,no,spelling,no,no,,,no,,
15,1146,0.36,peele,1,0,non-CoRT,One must take time out of every day to relax,relax,run,yes,,no,no,,,no,,
16,1184,0.63,peele,1,0,non-CoRT,Pure memorization may not be a great method to learn,learn,sew,yes,,no,no,,,no,,
17,1195,0.52,peele,1,0,non-CoRT,Religions vary widely in their conception of god,god,huff,yes,,no,no,,,no,,
18,1196,0.41,peele,1,0,non-CoRT,"Respect, riches, and fame were what the knight wanted",wanted,bed,yes,,no,no,,,no,,
19,1226,0.86,peele,1,0,non-CoRT,Sam does not like desserts that are too sweet,sweet,scam,yes,,no,no,,,no,,
20,1247,0.95,peele,1,0,non-CoRT,Sharon majored in Education to learn how to teach,teach,feud,yes,,yes,yes,,,no,,
21,1330,0.75,peele,1,0,non-CoRT,Some people won't eat lemons because they are too sour,sour,for,yes,,yes,yes,,,yes,Some people don't like lemons because they are too sour,
22,1375,0.36,peele,1,0,non-CoRT,The British businessman was the wealthiest in the whole country,country,seagull,yes,,no,no,,,no,,
23,1506,0.62,peele,5,0,CoRT,The car door hit Steven's face right in the nose,nose,gas,yes,,no,yes,object,no,no,,
24,1673,0.89,block_baldwin,1,0,non-CoRT,The expensive tie was made of silk,silk,tag,yes,,no,no,,,no,,
25,1748,0.88,block_baldwin,1,0,non-CoRT,The gas station is about two miles down the road,road,lose,yes,,no,no,,,no,,
26,1803,0.74,peele,5,0,CoRT,The hungry baby scrunched its face and started to cry,cry,wanted,yes,,yes,yes,person,no,no,,
27,1865,0.91,block_baldwin,1,0,non-CoRT,The lecture should last about one hour,hour,joke,yes,,no,no,,,no,,
28,1954,0.74,peele,1,0,non-CoRT,The new accusations cast a lot of doubt,doubt,ball,yes,,no,no,,,no,,
29,2038,0.49,peele,5,0,CoRT,The rambunctious dog pulled and tugged against the leash,leash,teach,yes,,no,yes,animal,no,no,,
30,2049,0.44,peele,1,0,non-CoRT,The restaurants on the west end were very expensive,expensive,well,yes,,no,no,,,no,,
