full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
Timothy|was|hesitant|when|he|had|to|make|a,0.4,peele,1.25,0.5,strong non-CoRT,decision,heat,9,low cloze,hard,False,True,decision,right,0.5,157.5,7
"After|the|mother|left,|the|baby|began|to|loudly",0.75,peele,4.333333333333333,0.8164965809277259,strong CoRT,cry,diet,9,high cloze,easy,False,True,cry,right,0.5,0.0,7
"To|finish|seasoning|the|salmon,|Marge|needed",0.32,peele,2.0,1.224744871391589,strong non-CoRT,salt,gray,7,low cloze,hard,True,False,gray,right,0.5,165.0,7
The|dog|was|lonely|without|companions|and|started|to,0.39,peele,4.0,1.224744871391589,strong CoRT,whine,hid,9,low cloze,hard,False,True,whine,right,0.5,45.0,7
The|student|spent|every|recess|with|his|best,0.93,peele,1.6,0.8944271909999159,strong non-CoRT,friend,tree,8,high cloze,easy,False,True,friend,right,0.5,105.0,7
The|princess|was|only|permitted|to|marry|a,0.9,block_baldwin,1.2857142857142858,0.4879500364742666,strong non-CoRT,prince,awoke,8,high cloze,easy,True,False,awoke,right,0.5,120.0,7
The|bite|was|so|painful|she|began|to,0.77,peele,4.166666666666667,1.1690451944500122,strong CoRT,cry,ghost,8,high cloze,easy,False,True,cry,right,0.5,22.5,7
Kristin|claimed|to|be|the|famous|actor's|biggest,0.96,peele,1.6666666666666667,1.2110601416389966,strong non-CoRT,fan,speed,8,high cloze,easy,False,True,fan,right,0.5,90.0,7
Tommy|was|angry|at|his|mom|and|started|to,0.45,peele,4.0,1.2649110640673518,strong CoRT,yell,dog,9,low cloze,hard,False,True,yell,right,0.5,67.5,7
Hank|won|the|dice|game|by|rolling|a|specific,0.83,peele,4.2,1.3038404810405295,strong CoRT,number,pull,9,high cloze,easy,True,False,pull,right,0.5,30.0,7
Everyone|on|the|cruise|gasped|and|pointed|out|the|massive,0.49,peele,4.8,0.44721359549995787,strong CoRT,whale,war,10,low cloze,hard,True,False,war,right,0.5,75.0,7
The|boat|passed|easily|under|the,0.89,block_baldwin,4.0,1.4142135623730951,strong CoRT,bridge,lodge,6,high cloze,easy,False,True,bridge,right,0.5,37.5,7
Advice|can|be|hard|to|receive|and|easy|to,0.71,peele,2.0,1.7320508075688772,strong non-CoRT,give,heal,9,high cloze,easy,False,True,give,right,0.5,127.5,7
Delia|needed|her|keys|and|rummaged|around|in|her,0.8,peele,4.0,1.4142135623730951,strong CoRT,purse,tub,9,high cloze,easy,True,False,tub,right,0.5,7.5,7
The|little|girl|tripped|and|immediately|began|to,0.9,peele,4.5,0.8366600265340756,strong CoRT,cry,play,8,high cloze,easy,False,True,cry,right,0.5,15.0,7
Andrea|watered|her|garden|with|a|small,0.45,peele,4.4,0.8944271909999157,strong CoRT,hose,bear,7,low cloze,hard,True,False,bear,right,0.5,52.5,7
Yolanda|wants|a|great|job|so|she|can|get,0.37,peele,1.8,1.7888543819998317,strong non-CoRT,rich,pay,9,low cloze,hard,False,True,rich,right,0.5,150.0,7
Isaac|didn't|know|what|her|behavior|could,0.48,peele,1.25,0.5,strong non-CoRT,mean,view,7,low cloze,hard,True,False,view,right,0.5,142.5,7
Malcolm|wanted|to|tidy|the|lawn|but|had|no,0.33,peele,1.75,0.5,strong non-CoRT,mower,gloves,9,low cloze,hard,False,True,mower,right,0.5,135.0,7
The|passengers|feared|capsizing|when|the|ship|began|to,0.36,peele,4.2,0.8366600265340756,strong CoRT,rock,sit,9,low cloze,hard,False,True,rock,right,0.5,82.5,7
The|young|woman|had|a|very|recognizable,0.44,peele,1.6,0.8944271909999159,strong non-CoRT,face,hurry,7,low cloze,hard,False,True,face,right,0.5,172.5,7
Marie|pulled|out|the|clothes|she|wanted|to,0.76,peele,1.75,0.5,strong non-CoRT,wear,move,8,high cloze,easy,True,False,move,right,0.5,97.5,7
Spring|was|Jo’s|favorite|season|of|the,0.94,block_baldwin,1.4285714285714286,1.1338934190276817,strong non-CoRT,year,witch,7,high cloze,easy,False,True,year,right,0.5,112.5,7
Visitors|at|the|medieval|festival|drank|honey,0.35,peele,4.0,1.1547005383792517,strong CoRT,mead,ink,7,low cloze,hard,False,True,mead,right,0.5,60.0,7
