,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
0,instructions,,,,,,,,,,,,,,,,,,,,,,,,,
1,trial,,0.0,Timothy|was|hesitant|when|he|had|to|make|a,0.4,peele,1.25,0.5,strong non-CoRT,decision,heat,9.0,low cloze,hard,False,True,decision,right,0.5,157.5,7.0,1.0,0.0,500.0,7000.0,
2,trial,,1.0,She|made|herself|a|sandwich|and|chips|for,0.9,block_baldwin,4.142857142857143,1.2149857925879115,strong CoRT,lunch,smell,8.0,high cloze,easy,False,True,lunch,right,0.5,0.0,7.0,1.0,0.0,500.0,7000.0,
3,trial,,2.0,"To|finish|seasoning|the|salmon,|Marge|needed",0.32,peele,2.0,1.224744871391589,strong non-CoRT,salt,gray,7.0,low cloze,hard,True,False,gray,right,0.5,165.0,7.0,1.0,0.0,500.0,7000.0,
4,trial,,3.0,The|dog|was|lonely|without|companions|and|started|to,0.39,peele,4.0,1.224744871391589,strong CoRT,whine,hid,9.0,low cloze,hard,False,True,whine,right,0.5,45.0,7.0,1.0,0.0,500.0,7000.0,
5,trial,,4.0,The|couple's|trip|was|ruined|when|it|began|to,0.85,peele,2.0,0.7071067811865476,strong non-CoRT,rain,hammer,9.0,high cloze,easy,False,True,rain,right,0.5,105.0,7.0,1.0,0.0,500.0,7000.0,
6,trial,,5.0,The|crime|rate|has|gone|up|this,0.81,block_baldwin,1.1428571428571428,0.3779644730092272,strong non-CoRT,year,eat,7.0,high cloze,easy,True,False,eat,right,0.5,120.0,7.0,1.0,0.0,500.0,7000.0,
7,trial,,6.0,In|the|evening|grandpa|smokes|using|his,0.96,peele,4.4,0.5477225575051662,strong CoRT,pipe,rich,7.0,high cloze,easy,False,True,pipe,right,0.5,22.5,7.0,1.0,0.0,500.0,7000.0,
8,trial,,7.0,Karla|had|played|the|game|and|knew|how|to,0.87,peele,1.8,1.3038404810405295,strong non-CoRT,win,ran,9.0,high cloze,easy,False,True,win,right,0.5,90.0,7.0,1.0,0.0,500.0,7000.0,
9,trial,,8.0,Tommy|was|angry|at|his|mom|and|started|to,0.45,peele,4.0,1.2649110640673518,strong CoRT,yell,dog,9.0,low cloze,hard,False,True,yell,right,0.5,67.5,7.0,1.0,0.0,500.0,7000.0,
10,trial,,9.0,The|teacher|wrote|the|problem|on|the,0.94,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,board,game,7.0,high cloze,easy,True,False,game,right,0.5,30.0,7.0,1.0,0.0,500.0,7000.0,
11,trial,,10.0,Everyone|on|the|cruise|gasped|and|pointed|out|the|massive,0.49,peele,4.8,0.44721359549995787,strong CoRT,whale,war,10.0,low cloze,hard,True,False,war,right,0.5,75.0,7.0,1.0,0.0,500.0,7000.0,
12,trial,,11.0,When|she|lost|her|doll|the|girl|began|to,0.84,peele,4.333333333333333,0.8164965809277259,strong CoRT,cry,music,9.0,high cloze,easy,False,True,cry,right,0.5,37.5,7.0,1.0,0.0,500.0,7000.0,
13,trial,,12.0,Sharon|majored|in|Education|to|learn|how|to,0.95,peele,1.0,0.0,strong non-CoRT,teach,tea,8.0,high cloze,easy,False,True,teach,right,0.5,127.5,7.0,1.0,0.0,500.0,7000.0,
14,trial,,13.0,The|janitor|accidentally|spilled|some|water|on|the,0.88,block_baldwin,4.142857142857143,1.4638501094227998,strong CoRT,floor,neat,8.0,high cloze,easy,True,False,neat,right,0.5,7.5,7.0,1.0,0.0,500.0,7000.0,
15,trial,,14.0,The|committed|scientist|spent|hours|working|in|the,0.88,peele,4.0,0.8164965809277259,strong CoRT,lab,beach,8.0,high cloze,easy,False,True,lab,right,0.5,15.0,7.0,1.0,0.0,500.0,7000.0,
16,trial,,15.0,Andrea|watered|her|garden|with|a|small,0.45,peele,4.4,0.8944271909999157,strong CoRT,hose,bear,7.0,low cloze,hard,True,False,bear,right,0.5,52.5,7.0,1.0,0.0,500.0,7000.0,
17,trial,,16.0,Yolanda|wants|a|great|job|so|she|can|get,0.37,peele,1.8,1.7888543819998317,strong non-CoRT,rich,pay,9.0,low cloze,hard,False,True,rich,right,0.5,150.0,7.0,1.0,0.0,500.0,7000.0,
18,trial,,17.0,Isaac|didn't|know|what|her|behavior|could,0.48,peele,1.25,0.5,strong non-CoRT,mean,view,7.0,low cloze,hard,True,False,view,right,0.5,142.5,7.0,1.0,0.0,500.0,7000.0,
19,trial,,18.0,Malcolm|wanted|to|tidy|the|lawn|but|had|no,0.33,peele,1.75,0.5,strong non-CoRT,mower,gloves,9.0,low cloze,hard,False,True,mower,right,0.5,135.0,7.0,1.0,0.0,500.0,7000.0,
20,trial,,19.0,The|passengers|feared|capsizing|when|the|ship|began|to,0.36,peele,4.2,0.8366600265340756,strong CoRT,rock,sit,9.0,low cloze,hard,False,True,rock,right,0.5,82.5,7.0,1.0,0.0,500.0,7000.0,
21,trial,,20.0,The|young|woman|had|a|very|recognizable,0.44,peele,1.6,0.8944271909999159,strong non-CoRT,face,hurry,7.0,low cloze,hard,False,True,face,right,0.5,172.5,7.0,1.0,0.0,500.0,7000.0,
22,trial,,21.0,The|diving|board|was|scary|because|it|was|so,0.82,block_baldwin,1.8571428571428568,1.5735915849388864,strong non-CoRT,high,beige,9.0,high cloze,easy,True,False,beige,right,0.5,97.5,7.0,1.0,0.0,500.0,7000.0,
23,trial,,22.0,The|boxer|knew|that|tonight|he|had|to,0.86,peele,2.0,1.0,strong non-CoRT,win,bag,8.0,high cloze,easy,False,True,win,right,0.5,112.5,7.0,1.0,0.0,500.0,7000.0,
24,trial,,23.0,Visitors|at|the|medieval|festival|drank|honey,0.35,peele,4.0,1.1547005383792517,strong CoRT,mead,ink,7.0,low cloze,hard,False,True,mead,right,0.5,60.0,7.0,1.0,0.0,500.0,7000.0,
0,break,# End of Practice. You got $${percent_correct}% correct! You are now going to start the experiment!,,,,,,,,,,,,,,,,,,,,,,,,
1,trial,,0.0,The|castle|was|protected|by|its|stone,0.86,block_baldwin,1.1428571428571428,0.3779644730092272,strong non-CoRT,walls,tire,7.0,high cloze,easy,True,False,tire,right,0.5,270.0,7.0,1.0,1.0,500.0,7000.0,1.0
2,trial,,1.0,"She|didn't|give|him|a|long|kiss,|just|a",0.87,peele,4.0,0.0,strong CoRT,peck,water,9.0,high cloze,easy,True,False,water,right,0.5,0.0,7.0,1.0,1.0,500.0,7000.0,1.0
3,trial,,2.0,All|the|professional|athlete|wanted|was|a|back,0.38,peele,2.0,1.0,strong non-CoRT,rub,tent,8.0,low cloze,hard,False,True,rub,right,0.5,375.0,7.0,1.0,1.0,500.0,7000.0,1.0
4,trial,,3.0,"Lately,|Sam|has|felt|like|he|is|in|a",0.43,peele,1.8,0.8366600265340756,strong non-CoRT,rut,flip,9.0,low cloze,hard,False,True,rut,right,0.5,442.5,7.0,1.0,1.0,500.0,7000.0,1.0
5,trial,,4.0,Before|descending|the|canyon|we|hiked|the,0.41,peele,4.0,1.1547005383792517,strong CoRT,trail,dress,7.0,low cloze,hard,False,True,trail,right,0.5,172.5,7.0,1.0,1.0,500.0,7000.0,1.0
6,trial,,5.0,Clay|refused|to|settle|down|and|buy|his|own,0.47,peele,1.8,0.8366600265340756,strong non-CoRT,house,scared,9.0,low cloze,hard,True,False,scared,right,0.5,390.0,7.0,1.0,1.0,500.0,7000.0,1.0
7,trial,,6.0,The|patient's|broken|arm|took|awhile|to,0.88,peele,1.8,0.8366600265340756,strong non-CoRT,heal,shiver,7.0,high cloze,easy,False,True,heal,right,0.5,262.5,7.0,1.0,1.0,500.0,7000.0,1.0
8,trial,,7.0,"After|Grace|slipped|on|the|floor,|she|bought|a",0.45,peele,4.0,1.4142135623730951,strong CoRT,rug,wind,9.0,low cloze,hard,True,False,wind,right,0.5,210.0,7.0,1.0,1.0,500.0,7000.0,1.0
9,trial,,8.0,The|tourists|enjoyed|looking|at|the|scenic,0.39,peele,1.75,0.9574271077563382,strong non-CoRT,view,joke,7.0,low cloze,hard,True,False,joke,right,0.5,397.5,7.0,1.0,1.0,500.0,7000.0,1.0
10,trial,,9.0,I|had|no|key|to|open|the|locked,0.89,block_baldwin,2.0,1.1547005383792517,strong non-CoRT,door,work,8.0,high cloze,easy,True,False,work,right,0.5,240.0,7.0,1.0,1.0,500.0,7000.0,1.0
11,trial,,10.0,When|the|alarm|rang|the|firefighter|slid|down|the,0.94,block_baldwin,4.428571428571429,1.5118578920369088,strong CoRT,pole,thief,9.0,high cloze,easy,False,True,pole,right,0.5,7.5,7.0,1.0,1.0,500.0,7000.0,1.0
12,trial,,11.0,"When|the|building|came|down,|there|was|a|loud",0.49,peele,4.25,0.4999999999999999,strong CoRT,crash,port,9.0,low cloze,hard,False,True,crash,right,0.5,225.0,7.0,1.0,1.0,500.0,7000.0,1.0
13,trial,,12.0,Although|Keith|bowled|well|he|did|not|have|the|highest,0.94,block_baldwin,2.0,1.1547005383792517,strong non-CoRT,score,limited,10.0,high cloze,easy,False,True,score,right,0.5,345.0,7.0,1.0,1.0,500.0,7000.0,1.0
14,trial,,13.0,At|recess|the|younger|children|usually|play,0.42,peele,4.2,0.8366600265340753,strong CoRT,tag,knot,7.0,low cloze,hard,False,True,tag,right,0.5,202.5,7.0,1.0,1.0,500.0,7000.0,1.0
15,trial,,14.0,The|boy|screamed|after|he|was|stung|by|a,0.81,peele,4.2,0.8366600265340756,strong CoRT,bee,cheer,9.0,high cloze,easy,True,False,cheer,right,0.5,67.5,7.0,1.0,1.0,500.0,7000.0,1.0
16,trial,,15.0,Ellen|replaced|the|fuse|that|no|longer,0.86,block_baldwin,4.142857142857143,0.8997354108424375,strong CoRT,worked,bite,7.0,high cloze,easy,False,True,worked,right,0.5,75.0,7.0,1.0,1.0,500.0,7000.0,1.0
17,trial,,16.0,"When|the|two|met,|one|of|them|held|out|his",0.95,block_baldwin,4.0,1.0,strong CoRT,hand,choke,10.0,high cloze,easy,False,True,hand,right,0.5,97.5,7.0,1.0,1.0,500.0,7000.0,1.0
18,trial,,17.0,There|is|a|bit|of|cyanide|in|each|apple,0.48,peele,2.0,1.4142135623730951,strong non-CoRT,seed,mare,9.0,low cloze,hard,True,False,mare,right,0.5,450.0,7.0,1.0,1.0,500.0,7000.0,1.0
19,trial,,18.0,Kyle|carefully|scooped|the|honey|out|of|the,0.5,peele,4.6,0.5477225575051661,strong CoRT,jar,sit,8.0,low cloze,hard,False,True,jar,right,0.5,217.5,7.0,1.0,1.0,500.0,7000.0,1.0
