,display,break,index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms
0,instructions,,,,,,,,,,,,,,,,,,,,,,,
1,trial,,0.0,The|students'|preferred|writing|utensil|was|a,0.49,peele,1.5,0.5773502691896257,strong non-CoRT,pencil,house,7.0,low cloze,hard,False,pencil,right,0.5,22.5,7.0,1.0,0.0,500.0,7000.0
2,trial,,1.0,Katie|didn't|know|who|the|present|was,0.72,peele,1.2,0.4472135954999579,strong non-CoRT,for,mouse,7.0,high cloze,easy,False,for,right,0.5,15.0,7.0,1.0,0.0,500.0,7000.0
3,trial,,2.0,His|mother|was|so|distraught|she|began|to,0.81,peele,4.333333333333333,1.0327955589886444,strong CoRT,cry,dishes,8.0,high cloze,easy,False,cry,right,0.5,0.0,7.0,1.0,0.0,500.0,7000.0
4,trial,,3.0,"After|stubbing|her|toe,|the|woman|let|slip|a",0.37,peele,4.25,0.5,strong CoRT,curse,bait,9.0,low cloze,hard,True,bait,right,0.5,7.5,7.0,1.0,0.0,500.0,7000.0
0,break,# End of Practice. You got $${percent_correct}% correct! You are now going to start the experiment!,,,,,,,,,,,,,,,,,,,,,,
1,trial,,0.0,The|queen|wasn't|demanding|so|she|was|easy|to,0.76,peele,2.0,1.2649110640673518,strong non-CoRT,please,trails,9.0,high cloze,easy,True,trails,right,0.5,270.0,7.0,1.0,1.0,500.0,7000.0
2,trial,,1.0,The|bite|was|so|painful|she|began|to,0.77,peele,4.166666666666667,1.1690451944500122,strong CoRT,cry,ghost,8.0,high cloze,easy,True,ghost,right,0.5,0.0,7.0,1.0,1.0,500.0,7000.0
3,trial,,2.0,"In|the|morning,|Kathy|hoped|that|the|birds|wouldn't",0.39,peele,1.5,0.5773502691896257,strong non-CoRT,chirp,pin,9.0,low cloze,hard,True,pin,right,0.5,375.0,7.0,1.0,1.0,500.0,7000.0
4,trial,,3.0,Molly|thought|the|table|surface|was|too,0.44,peele,1.6,0.8944271909999159,strong non-CoRT,rough,well,7.0,low cloze,hard,False,rough,right,0.5,442.5,7.0,1.0,1.0,500.0,7000.0
5,trial,,4.0,"In|the|front|lawn,|Irvin|planted|a|big,|green",0.44,peele,4.0,0.8944271909999159,strong CoRT,tree,cab,9.0,low cloze,hard,False,tree,right,0.5,172.5,7.0,1.0,1.0,500.0,7000.0
6,trial,,5.0,People|talking|too|loudly|had|always|been|Lawrence's,0.31,peele,2.0,1.2247448713915892,strong non-CoRT,peeve,sick,8.0,low cloze,hard,True,sick,right,0.5,390.0,7.0,1.0,1.0,500.0,7000.0
7,trial,,6.0,The|couple|needed|an|apartment|at|a|good,0.73,peele,1.4,0.5477225575051662,strong non-CoRT,price,clean,8.0,high cloze,easy,False,price,right,0.5,262.5,7.0,1.0,1.0,500.0,7000.0
8,trial,,7.0,Mike|exited|the|shower|and|quickly|put|on|his,0.44,peele,4.8,0.4472135954999581,strong CoRT,robe,wash,9.0,low cloze,hard,False,robe,right,0.5,210.0,7.0,1.0,1.0,500.0,7000.0
9,trial,,8.0,The|potatoes|were|seasoned|with|flakes|of|rosemary|and,0.35,peele,2.0,1.4142135623730951,strong non-CoRT,thyme,sweat,9.0,low cloze,hard,False,thyme,right,0.5,397.5,7.0,1.0,1.0,500.0,7000.0
10,trial,,9.0,Ivan|did|not|know|the|time|since|his|watch,0.76,block_baldwin,1.6666666666666667,0.8164965809277259,strong non-CoRT,broke,contract,9.0,high cloze,easy,False,broke,right,0.5,240.0,7.0,1.0,1.0,500.0,7000.0
